Date,AQI,Temperature,Humidity,Traffic_Level
2025-08-01 00:00:00,152.0,25.0,63,2
2025-08-01 01:00:00,229.0,31.0,59,7
2025-08-01 02:00:00,142.0,32.0,88,6
2025-08-01 03:00:00,64.0,32.0,84,4
2025-08-01 04:00:00,156.0,34.0,42,7
2025-08-01 05:00:00,121.0,35.0,42,4
2025-08-01 06:00:00,238.0,30.0,47,2
2025-08-01 07:00:00,70.0,24.0,61,7
2025-08-01 08:00:00,152.0,23.0,61,8
2025-08-01 09:00:00,171.0,22.0,64,2
2025-08-01 10:00:00,124.0,38.0,88,5
2025-08-01 11:00:00,137.0,39.0,68,1
2025-08-01 12:00:00,166.0,37.0,75,7
2025-08-01 13:00:00,149.0,34.0,81,8
2025-08-01 14:00:00,153.0,28.0,58,6
2025-08-01 15:00:00,201.0,36.0,78,5
2025-08-01 16:00:00,180.0,33.0,58,6
2025-08-01 17:00:00,199.0,,82,2
2025-08-01 18:00:00,102.0,20.0,73,1
2025-08-01 19:00:00,51.0,22.0,86,7
2025-08-01 20:00:00,137.0,35.0,45,7
2025-08-01 21:00:00,207.0,30.0,85,2
2025-08-01 22:00:00,87.0,31.0,73,2
2025-08-01 23:00:00,179.0,29.0,76,1
2025-08-02 00:00:00,241.0,35.0,86,8
2025-08-02 01:00:00,237.0,27.0,39,8
2025-08-02 02:00:00,70.0,25.0,59,1
2025-08-02 03:00:00,210.0,31.0,54,8
2025-08-02 04:00:00,107.0,27.0,68,9
2025-08-02 05:00:00,71.0,23.0,49,4
2025-08-02 06:00:00,138.0,27.0,34,1
2025-08-02 07:00:00,98.0,37.0,30,1
2025-08-02 08:00:00,,24.0,59,3
2025-08-02 09:00:00,219.0,28.0,78,5
2025-08-02 10:00:00,237.0,23.0,32,5
2025-08-02 11:00:00,64.0,36.0,74,9
2025-08-02 12:00:00,239.0,,43,2
2025-08-02 13:00:00,239.0,20.0,85,2
2025-08-02 14:00:00,224.0,39.0,59,6
2025-08-02 15:00:00,239.0,32.0,79,9
2025-08-02 16:00:00,100.0,35.0,33,1
2025-08-02 17:00:00,157.0,,47,9
2025-08-02 18:00:00,104.0,33.0,66,9
2025-08-02 19:00:00,113.0,22.0,54,9
2025-08-02 20:00:00,180.0,25.0,77,5
2025-08-02 21:00:00,100.0,37.0,30,9
2025-08-02 22:00:00,184.0,38.0,82,4
2025-08-02 23:00:00,70.0,24.0,75,2
2025-08-03 00:00:00,122.0,34.0,44,6
2025-08-03 01:00:00,216.0,21.0,38,4
2025-08-03 02:00:00,67.0,29.0,44,6
